country_name,Adjusted net national income per capita (current US$),"Compulsory education, duration (years)",Employment in services (% of total employment) (modeled ILO estimate),Gross savings (% of GNI),"Hospital beds (per 1,000 people)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)",Population growth (annual %),Urban population (% of total population)
St. Vincent and the Grenadines,6324.030273,12,69.54299927,22.58698695,2.6,2.324144854,40.49123665,0.343298993,52.614
Sudan,764.3608071,8,44.41699982,16.68456462,0.8,50.9940515,30.37867679,2.391434033,34.936
Suriname,3262.744786,6,69.06800079,51.57008559,3.1,21.99694302,38.21322417,0.929879178,66.095
Sweden,46113.93312,10,80.68699646,28.70616175,2.6,1.784150974,47.75032287,1.077580381,87.708
Switzerland,65569.26598,11,77.16000366,34.64177009,4.7,0.362916005,46.77936877,0.708089213,73.849
Syrian Arab Republic,1604.335171,9,62.9980011,29.43803245,1.5,36.70229534,16.39034895,0.96451174,54.821
Tajikistan,878.3127761,9,39.85599899,21.28448606,4.8,6.004580823,37.35678466,2.390546289,27.309
Tanzania,848.1282391,7,28.31699944,31.24728662,0.7,3.46428058,48.12593634,2.951681673,34.5
Thailand,5548.396827,9,46.32500076,32.67105344,2.1,0.706728601,45.60571093,0.283426556,50.692
Timor-Leste,1370.950974,9,46.41600037,9.588112782,5.9,2.63647201,45.64964773,1.963835583,30.947
Togo,522.716713,10,49.93199921,22.53068734,0.7,0.67465277,49.60491948,2.420335208,42.248
Tonga,4040.009008,15,47.06900024,16.02964314,2.6,7.442245466,39.11898954,1.248987063,23.107
Trinidad and Tobago,13268.49251,7,70.46399689,22.58698695,3,1.018569302,42.69624799,0.36734766,53.187
Tunisia,2674.351799,9,54.78300095,8.379024955,2.3,6.720075329,26.2217187,1.113643743,69.254
Turkey,7644.555961,12,55.90599823,25.82269217,2.7,15.17682157,32.94557488,1.339260351,75.63
Uganda,532.9669808,7,20.93600082,24.52567457,0.5,2.86909425,49.2906054,3.555740529,24.361
Ukraine,2619.905125,11,61.125,11.69800979,8.8,7.886717456,47.12519618,-0.533355282,69.473
United Arab Emirates,39977.69156,6,64.44000244,22.58698695,1.2,-1.931081148,17.7107445,1.438780445,86.789
United Kingdom,35825.11227,11,81.33799744,13.79026727,2.8,1.738104601,46.84252829,0.56125539,83.652
United States,53497.29227,12,78.98300171,18.30095741,2.9,1.812210075,46.00848977,0.473953539,82.459
Uruguay,14118.83195,14,73.35099792,13.80508612,2.8,7.881988709,45.53165304,0.359859761,95.426
Uzbekistan,1311.167252,12,46.76100159,39.51273977,4,6.857370923,40.78215604,1.877363542,50.433
Vanuatu,2834.920264,9.923913043,38.43700027,31.60149479,1.7,2.762520194,43.57790864,2.430920193,25.394
"Venezuela, RB",14788.6602,17,75.49199677,9.041046508,0.8,254.9485348,39.24172248,-1.235041146,88.24
Vietnam,2106.661924,10,35.41400146,23.13989123,2.6,2.795823675,47.81637418,0.960110494,36.628
"Yemen, Rep.",906.1729767,9,61.40200043,22.58698695,0.7,8.104725836,7.495649529,2.300580114,37.273
Zambia,1128.283417,7,40.7179985,44.71174596,2,9.150316443,48.3475515,2.892372927,44.072
Zimbabwe,1379.003243,7,27.18600082,-2.423258669,1.7,0.90973329,50.85981768,1.419681046,32.21
